Activity,Drink Quantity,Number of Standard Drinkings,Calorie in Alcohol,Calorie Level
Full/Mid-strength Beer,1,1.1,202,low
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,1,2.7,312,moderate
Glass Wine,1,1.5,130,low
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,1,0.8,123,low
Bottle Wine,1,7.7,650,high
Both Low-strength Beer and glass of wine with same proportion,1,1.1,107,low
Both Full/Mid-strength Beer and glass of wine with same proportion,1,1.3,166,low
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,1,0.9,143,low
Low-strength Beer,1,0.6,83,low
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,1,1,163,low
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,1,1.1,139,low
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,2,1.6,123,low
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,2,2,163,moderate
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,2,5.4,312,high
Both Low-strength Beer and glass of wine with same proportion,2,2.2,107,low
Bottle Wine,2,15.4,650,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,2,1.8,143,low
Full/Mid-strength Beer,2,2.2,202,moderate
Low-strength Beer,2,1.2,83,low
Both Full/Mid-strength Beer and glass of wine with same proportion,2,2.6,166,moderate
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,2,2.2,139,low
Glass Wine,2,3,130,low
Bottle Wine,3,23.1,650,Extreme
Both Low-strength Beer and glass of wine with same proportion,3,3.3,107,moderate
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,3,8.1,312,very high
Low-strength Beer,3,1.8,83,low
Glass Wine,3,4.5,130,moderate
Both Full/Mid-strength Beer and glass of wine with same proportion,3,3.9,166,moderate
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,3,2.4,123,moderate
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,3,3.3,139,moderate
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,3,3,163,moderate
Full/Mid-strength Beer,3,3.3,202,high
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,3,2.7,143,moderate
Both Low-strength Beer and glass of wine with same proportion,4,4.4,107,moderate
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,4,10.8,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,4,4,163,high
Glass Wine,4,6,130,moderate
Low-strength Beer,4,2.4,83,moderate
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,4,3.2,123,moderate
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,4,4.4,139,moderate
Both Full/Mid-strength Beer and glass of wine with same proportion,4,5.2,166,high
Full/Mid-strength Beer,4,4.4,202,high
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,4,3.6,143,moderate
Bottle Wine,4,30.8,650,Extreme
Low-strength Beer,5,3,83,moderate
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,5,4.5,143,high
Both Full/Mid-strength Beer and glass of wine with same proportion,5,6.5,166,high
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,5,5.5,139,high
Bottle Wine,5,38.5,650,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,5,4,123,high
Both Low-strength Beer and glass of wine with same proportion,5,5.5,107,moderate
Glass Wine,5,7.5,130,high
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,5,13.5,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,5,5,163,high
Full/Mid-strength Beer,5,5.5,202,very high
Full/Mid-strength Beer,6,6.6,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,6,6.6,107,high
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,6,6,163,very high
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,6,6.6,139,high
Bottle Wine,6,46.2,650,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,6,4.8,123,high
Glass Wine,6,9,130,high
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,6,16.2,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,6,7.8,166,very high
Low-strength Beer,6,3.6,83,moderate
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,6,5.4,143,high
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,7,7,163,very high
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,7,6.3,143,very high
