activity,130lb,155lb,180lb,205lb,Average Weight,activity_type,activity_type_id,activity_id
Walking - under 2.0 mph - very slow,118,141,163,186,152.0,Walking,3,0
Walking 2.0 mph - slow,148,176,204,233,190.25,Walking,3,1
Walking 2.5 mph,177,211,245,279,228.0,Walking,3,2
Walking 3.0 mph - moderate,195,232,270,307,251.0,Walking,3,3
Walking 3.5 mph - brisk pace,224,267,311,354,289.0,Walking,3,4
Walking 3.5 mph - uphill,354,422,490,558,456.0,Walking,3,5
Walking 4.0 mph - very brisk,295,352,409,465,380.25,Walking,3,6
Walking 4.5 mph,372,443,515,586,479.0,Walking,3,7
Walking 5.0 mph,472,563,654,745,608.5,Walking,3,8
Swimming laps - freestyle - fast,590,704,817,931,760.5,Swimming,1,9
Swimming laps - freestyle - slow,413,493,572,651,532.25,Swimming,1,10
Swimming backstroke,413,493,572,651,532.25,Swimming,1,11
Swimming breaststroke,590,704,817,931,760.5,Swimming,1,12
Swimming butterfly,649,774,899,1024,836.5,Swimming,1,13
Swimming leisurely - not laps,354,422,490,558,456.0,Swimming,1,14
Swimming sidestroke,472,563,654,745,608.5,Swimming,1,15
Swimming synchronized,472,563,654,745,608.5,Swimming,1,16
Swimming - treading water - fast - vigorous,590,704,817,931,760.5,Swimming,1,17
Swimming - treading water - moderate,236,281,327,372,304.0,Swimming,1,18
Water aerobics - water calisthenics,236,281,327,372,304.0,Swimming,1,19
Water polo,590,704,817,931,760.5,Swimming,1,20
Water volleyball,177,211,245,279,228.0,Swimming,1,21
Water jogging,472,563,654,745,608.5,Swimming,1,22
Diving - springboard or platform,177,211,245,279,228.0,Swimming,1,23
Cycling - mountain bike - bmx,502,598,695,791,646.5,Cycling,0,24
Cycling - <10 mph - leisure bicycling,236,281,327,372,304.0,Cycling,0,25
Cycling - >20 mph - racing,944,1126,1308,1489,1216.75,Cycling,0,26
Cycling - 10-11.9 mph - light,354,422,490,558,456.0,Cycling,0,27
Cycling - 12-13.9 mph - moderate,472,563,654,745,608.5,Cycling,0,28
Cycling - 14-15.9 mph - vigorous,590,704,817,931,760.5,Cycling,0,29
Cycling - 16-19 mph - very fast - racing,708,844,981,1117,912.5,Cycling,0,30
Unicycling,295,352,409,465,380.25,Cycling,0,31
Stationary cycling - very light,177,211,245,279,228.0,Cycling,0,32
Stationary cycling - light,325,387,449,512,418.25,Cycling,0,33
Stationary cycling - moderate,413,493,572,651,532.25,Cycling,0,34
Stationary cycling - vigorous,620,739,858,977,798.5,Cycling,0,35
Stationary cycling - very vigorous,738,880,1022,1163,950.75,Cycling,0,36
Aerobics - low impact,295,352,409,465,380.25,Exercise or Dancing,2,37
Aerobics - high impact,413,493,572,651,532.25,Exercise or Dancing,2,38
Aerobics - step aerobics,502,598,695,791,646.5,Exercise or Dancing,2,39
Aerobics - general,384,457,531,605,494.25,Exercise or Dancing,2,40
Jazzercise,354,422,490,558,456.0,Exercise or Dancing,2,41
Stretching - hatha yoga,236,281,327,372,304.0,Exercise or Dancing,2,42
Mild stretching,148,176,204,233,190.25,Exercise or Dancing,2,43
Instructing aerobic class,354,422,490,558,456.0,Exercise or Dancing,2,44
Water aerobics,236,281,327,372,304.0,Exercise or Dancing,2,45
Ballet - twist - jazz - tap,266,317,368,419,342.5,Exercise or Dancing,2,46
Ballroom dancing - slow,177,211,245,279,228.0,Exercise or Dancing,2,47
Ballroom dancing - fast,325,387,449,512,418.25,Exercise or Dancing,2,48
Teach aerobic classes (& participate),384,457,531,605,494.25,Exercise or Dancing,2,49
Rock climbing - ascending rock,649,774,899,1024,836.5,Climbing or Hiking,4,50
Rock climbing - rappelling,472,563,654,745,608.5,Climbing or Hiking,4,51
Backpacking - Hiking with pack,413,493,572,651,532.25,Climbing or Hiking,4,52
Climbing hills - carrying up to 9 lbs,413,493,572,651,532.25,Climbing or Hiking,4,53
Climbing hills - carrying 10 to 20 lb,443,528,613,698,570.5,Climbing or Hiking,4,54
Climbing hills - carrying 21 to 42 lb,472,563,654,745,608.5,Climbing or Hiking,4,55
Climbing hills - carrying over 42 lb,531,633,735,838,684.25,Climbing or Hiking,4,56
Hiking - cross country,354,422,490,558,456.0,Climbing or Hiking,4,57
Rock climbing - mountain climbing,472,563,654,745,608.5,Climbing or Hiking,4,58
Carrying infant - level ground,207,246,286,326,266.25,Activities with Children,5,59
Carrying infant - upstairs,295,352,409,465,380.25,Activities with Children,5,60
Standing - playing with children - light,165,197,229,261,213.0,Activities with Children,5,61
Walk/run - playing with children - moderate,236,281,327,372,304.0,Activities with Children,5,62
Walk/run - playing with children - vigorous,295,352,409,465,380.25,Activities with Children,5,63
Carrying small children,177,211,245,279,228.0,Activities with Children,5,64
Pushing stroller or walking with children,148,176,204,233,190.25,Activities with Children,5,65
Orienteering,531,633,735,838,684.25,Other Activities,6,66
Carrying 16 to 24 lbs - upstairs,354,422,490,558,456.0,Other Activities,6,67
Carrying 25 to 49 lbs - upstairs,472,563,654,745,608.5,Other Activities,6,68
Loading - unloading car,177,211,245,279,228.0,Other Activities,6,69
Walking downstairs,177,211,245,279,228.0,Other Activities,6,70
Bird watching,148,176,204,233,190.25,Other Activities,6,71
Marching - rapidly - military,384,457,531,605,494.25,Other Activities,6,72
Pushing a wheelchair,236,281,327,372,304.0,Other Activities,6,73
Race walking,384,457,531,605,494.25,Other Activities,6,74
Walking using crutches,295,352,409,465,380.25,Other Activities,6,75
Walking the dog,177,211,245,279,228.0,Other Activities,6,76
Walk / run - playing with animals,236,281,327,372,304.0,Other Activities,6,77
